Name,Category,Day,Year,Date
Dennis,Category 1 hurricane,July 10,2005,2005-07-10
Katrina,Category 1 hurricane,August 25,2005,2005-08-25
Katrina,Category 1 hurricane,August 29,2005,2005-08-29
Rita,Category 1 hurricane,September 20,2005,2005-09-20
Rita,Category 2 hurricane,September 24,2005,2005-09-24
Wilma,Category 3 hurricane,October 24,2005,2005-10-24
Humberto,Category 1 hurricane,September 13,2007,2007-09-13
Dolly,Category 1 hurricane,July 23,2008,2008-07-23
Gustav,Category 2 hurricane,September 1,2008,2008-09-01
Ike,Category 2 hurricane,September 13,2008,2008-09-13
Isaac,Category 1 hurricane,August 28,2012,2012-08-28
Hermine,Category 1 hurricane,September 2,2016,2016-09-02
Matthew,Category 2 hurricane,October 7,2016,2016-10-07
Harvey,Category 4 hurricane,August 26,2017,2017-08-26
Irma,Category 4 hurricane,September 10,2017,2017-09-10
Nate,Category 1 hurricane,October 7,2017,2017-10-07
Nate,Category 1 hurricane,October 8,2017,2017-10-08
Michael,Category 1 hurricane,October 10,2018,2018-10-10
Barry,Category 1 hurricane,July 13,2019,2019-07-13
Laura,Category 4 hurricane,August 27,2020,2020-08-27
Sally,Category 2 hurricane,September 16,2020,2020-09-16
Delta,Category 2 hurricane,October 9,2020,2020-10-09
Zeta,Category 3 hurricane,October 28,2020,2020-10-28
Zeta,Category 1 hurricane,October 29,2020,2020-10-29
Ida,Category 4 hurricane,August 29,2021,2021-08-29
Ian,Category 4 hurricane,September 28,2022,2022-09-28
Nicole,Category 1 hurricane,November 10,2022,2022-11-10
Idalia,Category 3 hurricane,August 30,2023,2023-08-30
Debby,Category 1 hurricane,August 5,2024,2024-08-05
Francine,Category 2 hurricane,September 11,2024,2024-09-11
Helene,Category 4 hurricane,September 27,2024,2024-09-27
Milton,Category 3 hurricane,October 10,2024,2024-10-10
