Hurricane_Category,Period,sea_water_temperature
Category 1 hurricane,Before,30.496875000000003
Category 1 hurricane,During,28.57026468689477
Category 2 hurricane,Before,29.06134259259259
Category 2 hurricane,During,28.81458333333333
Category 3 hurricane,Before,28.04201388888889
Category 3 hurricane,During,23.56532679738562
Category 4 hurricane,During,26.021103896103895
